Date,Dealer Name,Commercial Center,District,Item Name,Category,Quantity,Item Cost,Total Cost,Tax Percentage,Total GST,Grand Total
44655.0,Madhava Traders,Vijayawada,Krishna,Shovels S Q 4 Light Wt.,null,48.0,434.0,20832.0,0,0.0,20832.0
44655.0,Madhava Traders,Vijayawada,Krishna,Hoe Fork with 12" Handle,Garden Tools,15.0,137.0,2055.0,0,0.0,2055.0
44655.0,Madhava Traders,Vijayawada,Krishna,Hoe Trowel with 12" Handle,Garden Tools,14.0,137.0,1918.0,0,0.0,1918.0
44655.0,Madhava Traders,Vijayawada,Krishna,D O E Set of 12,GPHT,4.0,634.27,2537.08,18,456.6744,2993.7544
44655.0,Madhava Traders,Vijayawada,Krishna,D O E Set of 8,GPHT,5.0,239.33,1196.65,18,215.397,1412.047
44655.0,Sri Durga Trading Co.,Bhimavaram,West Godavari,Shovels S Q 4 Light Weight ( Steel Handle),Agri,48.0,492.0,23616.0,0,0.0,23616.0
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,D O E Set of 8,GPHT,6.0,239.33,1435.98,18,258.4764,1694.4564
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,D O E Spanners 1/4 x 5/16,GPHT,20.0,26.4,528.0,18,95.03999999999999,623.04
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Ring Spanners 21 x 23,GPHT,20.0,129.21,2584.2000000000003,18,465.156,3049.356
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Pliers 8",GPHT,6.0,193.82,1162.92,18,209.3256,1372.2456000000002
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 10,GPHT,10.0,19.66,196.6,18,35.388,231.988
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 11,GPHT,10.0,26.4,264.0,18,47.519999999999996,311.52
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 12,GPHT,10.0,27.53,275.3,18,49.554,324.85400000000004
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 13,GPHT,10.0,30.9,309.0,18,55.61999999999999,364.62
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 15,GPHT,10.0,35.96,359.6,18,64.72800000000001,424.32800000000003
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 16,GPHT,10.0,45.51,455.09999999999997,18,81.91799999999999,537.0179999999999
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 17,GPHT,10.0,48.88,488.8,18,87.98400000000001,576.784
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 18,GPHT,10.0,57.87,578.6999999999999,18,104.166,682.866
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 19,GPHT,10.0,63.48,634.8,18,114.264,749.064
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 20,GPHT,10.0,76.4,764.0,18,137.52,901.52
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 21,GPHT,10.0,83.15,831.5,18,149.67000000000002,981.1700000000001
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Combination Spanners 22,GPHT,10.0,85.39,853.9,18,153.702,1007.602
44655.0,Sri Lakshmi Srinivasa Enterprises,Dharmavaram,West Godavari,Welding Electrodes 2.90 x 350,Welding Electrodes,60.0,236.58,14194.800000000001,18,2555.0640000000003,16749.864
44655.0,Janardhan Hardwares,Rajampeta,Cuddapah,25mm Crowbars,Agri,20.0,955.0,19100.0,0,0.0,19100.0
44655.0,Janardhan Hardwares,Rajampeta,Cuddapah,Powrah S N M 1.45,Agri,80.0,415.0,33200.0,0,0.0,33200.0
44655.0,Sree Leela Krishna Tractor Spares,Kandukur,Prakasam,Ring Spanners 24 x 26,GPHT,10.0,144.38,1443.8,18,259.884,1703.684
